==== test ====
n_dim = 6
max_it = 1000, rtol = 1.00e-06
sor_omega = 1.50
solver type = "jacobi"

==== solver ====
solve with jacobi

iter	||true residual||	||relative residual||
82	01.74354962459163e+47	04.97715295121746e+46
83	06.46555941355800e+47	01.84566459494947e+47
84	02.39760646560545e+48	06.84422968399379e+47
85	08.89098126893504e+48	02.53802777034601e+48
86	03.29701930064623e+49	09.41170191601273e+48
87	01.22262503316867e+50	03.49011677456159e+49
88	04.53382839292966e+50	01.29423086374549e+50
89	01.68126770995857e+51	04.79936241927548e+50
90	06.23460102053579e+51	01.77973499757949e+51
91	02.31196076954477e+52	06.59974468460219e+51
92	08.57338357708523e+52	02.44736603826825e+52
93	03.17924538028851e+53	09.07550338915855e+52
94	01.17895123870361e+54	03.36544515527025e+53
95	04.37187400462511e+54	01.24799921364826e+54
96	01.62121058826266e+55	04.62792280191419e+54
97	06.01189276890049e+55	01.71616049323198e+55
98	02.22937445180948e+56	06.36399301499162e+55
99	08.26713089776184e+56	02.35994286400273e+56
100	03.06567850121614e+57	08.75131432142957e+56
101	01.13683753034118e+58	03.24522697225647e+57
102	04.21570484276009e+58	01.20341901966338e+58
103	01.56329878693723e+59	04.46260723600668e+58
104	05.79713995261432e+59	01.65485695484767e+59
105	02.14973822733137e+60	06.13666270899135e+59
106	07.97181797200827e+60	02.27564256195131e+60
107	02.95616838231152e+61	08.43870571895175e+60
108	01.09622817972809e+62	03.12930314284536e+61
109	04.06511425134149e+62	01.16043128957912e+62
110	01.50745567228153e+63	04.30319696227907e+62
111	05.59005839293164e+63	01.59574326049792e+63
112	02.07294671485037e+64	05.91745294427773e+63
113	07.68705401725753e+64	02.19435357895950e+64
114	02.85057011069870e+65	08.13726391208358e+64
115	01.05706944920205e+66	03.01752026700706e+65
116	03.91990295640346e+66	01.11897913846410e+66
117	01.45360734805265e+67	04.14948103583008e+66
118	05.39037406235004e+67	01.53874118603739e+67
119	01.99889829746539e+68	05.70607364430114e+67
120	07.41246221021639e+68	02.11596834670005e+68
121	02.74874394998265e+69	07.84659000801403e+68
122	01.01930952068161e+70	02.90973042436506e+69
123	03.77987880231162e+70	01.07900771339250e+70
124	01.40168255767990e+71	04.00125604699124e+70
125	05.19782272199450e+71	01.48377530159140e+71
126	01.92749498816637e+72	05.50224509443263e+71
127	07.14767918822149e+72	02.04038313932961e+72
128	02.65055515533848e+73	07.56629936291457e+72
