==== test ====
n_dim = 12
max_it = 1000, rtol = 1.00e-06
sor_omega = 1.50
solver type = "gs"

==== solver ====
solve with gs

iter	||true residual||	||relative residual||
74	01.80037355534743e-03	03.45133570262186e-04
75	01.75540480100652e-03	03.36513011106657e-04
76	01.71151413590071e-03	03.28099122830996e-04
77	01.66867702112627e-03	03.19887201300643e-04
78	01.62686930987898e-03	03.11872617546950e-04
79	01.58606727217668e-03	03.04050822506503e-04
80	01.54624761315697e-03	02.96417350528828e-04
81	01.50738748609103e-03	02.88967821871135e-04
82	01.46946450108902e-03	02.81697944367176e-04
83	01.43245673027009e-03	02.74603514418321e-04
84	01.39634271006332e-03	02.67680417434665e-04
85	01.36110144118818e-03	02.60924627831267e-04
86	01.32671238674398e-03	02.54332208661915e-04
87	01.29315546879193e-03	02.47899310963885e-04
88	01.26041106373639e-03	02.41622172872538e-04
89	01.22845999673759e-03	02.35497118550210e-04
90	01.19728353539011e-03	02.29520556974400e-04
91	01.16686338280986e-03	02.23688980612505e-04
92	01.13718167030250e-03	02.17998964016375e-04
93	01.10822094968683e-03	02.12447162350679e-04
94	01.07996418541225e-03	02.07030309881826e-04
95	01.05239474650672e-03	02.01745218434371e-04
96	01.02549639845524e-03	01.96588775834118e-04
97	09.99253295032860e-04	01.91557944342496e-04
98	09.73649970138671e-04	01.86649759091125e-04
99	09.48671329685491e-04	01.81861326527063e-04
100	09.24302643540686e-04	01.77189822867851e-04
101	09.00529537567432e-04	01.72632492575812e-04
102	08.77337985761810e-04	01.68186646850729e-04
103	08.54714302519344e-04	01.63849662147325e-04
104	08.32645135024614e-04	01.59618978716352e-04
105	08.11117455778170e-04	01.55492099171984e-04
106	07.90118555277673e-04	01.51466587088789e-04
107	07.69636034830480e-04	01.47540065623890e-04
108	07.49657799534947e-04	01.43710216171477e-04
109	07.30172051397201e-04	01.39974777043284e-04
110	07.11167282617164e-04	01.36331542181508e-04
111	06.92632269012581e-04	01.32778359898193e-04
112	06.74556063614129e-04	01.29313131647406e-04
113	06.56927990389294e-04	01.25933810822092e-04
114	06.39737638135359e-04	01.22638401583357e-04
115	06.22974854513894e-04	01.19424957716875e-04
116	06.06629740224411e-04	01.16291581515965e-04
117	05.90692643334910e-04	01.13236422694758e-04
118	05.75154153739786e-04	01.10257677325766e-04
119	05.60005097765639e-04	01.07353586805813e-04
120	05.45236532902120e-04	01.04522436845930e-04
121	05.30839742678220e-04	01.01762556489139e-04
122	05.16806231652266e-04	09.90723171500220e-05
123	05.03127720537017e-04	09.64501316802037e-05
124	04.89796141443521e-04	09.38944534565904e-05
125	04.76803633244355e-04	09.14037754924977e-05
126	04.64142537048104e-04	08.89766295701051e-05
127	04.51805391786267e-04	08.66115853944592e-05
128	04.39784929909344e-04	08.43072497684106e-05
